date,price
2019-10-26,9252.75
2019-10-27,9557.08
2019-10-28,9216.44
2019-10-29,9426.94
2019-10-30,9159.94
2019-10-31,9150.07
2019-11-01,9250.45
2019-11-02,9304.75
2019-11-03,9207.00
2019-11-04,9410.76
2019-11-05,9320.14
2019-11-06,9344.78
2019-11-07,9199.36
2019-11-08,8767.37
2019-11-09,8812.21
2019-11-10,9024.49
2019-11-11,8720.36
2019-11-12,8813.91
2019-11-13,8755.24
2019-11-14,8636.90
2019-11-15,8463.49
2019-11-16,8484.63
2019-11-17,8499.31
2019-11-18,8170.65
2019-11-19,8121.63
2019-11-20,8088.44
2019-11-21,7611.51
2019-11-22,7285.85
2019-11-23,7320.39
2019-11-24,6908.36
2019-11-25,7122.14
2019-11-26,7159.22
2019-11-27,7527.84
2019-11-28,7436.72
2019-11-29,7753.69
2019-11-30,7550.67
2019-12-01,7412.66
2019-12-02,7309.64
2019-12-03,7300.43
2019-12-04,7197.78
2019-12-05,7390.42
2019-12-06,7541.79
2019-12-07,7502.65
2019-12-08,7524.26
2019-12-09,7340.52
2019-12-10,7216.07
2019-12-11,7207.42
2019-12-12,7188.42
2019-12-13,7257.47
2019-12-14,7059.03
2019-12-15,7115.08
2019-12-16,6882.19
2019-12-17,6612.30
2019-12-18,7286.91
2019-12-19,7149.57
2019-12-20,7194.11
2019-12-21,7147.40
2019-12-22,7509.70
2019-12-23,7316.17
2019-12-24,7251.52
2019-12-25,7195.79
2019-12-26,7188.30
2019-12-27,7246.00
2019-12-28,7296.24
2019-12-29,7385.54
2019-12-30,7220.24
2019-12-31,7168.36
2020-01-01,7178.68
2020-01-02,6950.56
2020-01-03,7338.91
2020-01-04,7344.48
2020-01-05,7356.70
2020-01-06,7762.74
2020-01-07,8159.01
2020-01-08,8044.44
2020-01-09,7806.78
2020-01-10,8200.00
2020-01-11,8016.22
2020-01-12,8180.76
2020-01-13,8105.01
2020-01-14,8813.04
2020-01-15,8809.17
2020-01-16,8710.15
2020-01-17,8892.63
2020-01-18,8908.53
2020-01-19,8696.60
2020-01-20,8625.17
2020-01-21,8717.89
2020-01-22,8655.93
2020-01-23,8378.44
2020-01-24,8422.13
2020-01-25,8329.50
2020-01-26,8590.48
2020-01-27,8894.54
2020-01-28,9400.00
2020-01-29,9289.18
2020-01-30,9500.00
2020-01-31,9327.85
2020-02-01,9377.17
2020-02-02,9329.39
2020-02-03,9288.09
2020-02-04,9159.37
2020-02-05,9618.42
2020-02-06,9754.63
2020-02-07,9803.42
2020-02-08,9902.00
2020-02-09,10173.97
2020-02-10,9850.01
2020-02-11,10268.98
2020-02-12,10348.78
2020-02-13,10228.67
2020-02-14,10364.04
2020-02-15,9899.78
2020-02-16,9912.89
2020-02-17,9697.15
2020-02-18,10185.17
2020-02-19,9595.72
2020-02-20,9612.76
2020-02-21,9696.13
2020-02-22,9668.13
2020-02-23,9965.21
2020-02-24,9652.58
2020-02-25,9305.40
2020-02-26,8779.36
2020-02-27,8816.50
2020-02-28,8703.84
2020-02-29,8527.74
2020-03-01,8528.95
2020-03-02,8917.34
2020-03-03,8755.45
2020-03-04,8753.28
2020-03-05,9066.65
2020-03-06,9153.79
2020-03-07,8893.93
2020-03-08,8033.70
2020-03-09,7936.25
2020-03-10,7885.92
2020-03-11,7934.57
2020-03-12,4841.67
2020-03-13,5622.74
2020-03-14,5169.37
